music_id,song_path,hum_path
1075110394,train_mel/song/0000.mel,train_mel/hum/0000.mel
1079628790,train_mel/song/0001.mel,train_mel/hum/0001.mel
1078271932,train_mel/song/0002.mel,train_mel/hum/0002.mel
1076457212,train_mel/song/0003.mel,train_mel/hum/0003.mel
1073861056,train_mel/song/0004.mel,train_mel/hum/0004.mel
1074789537,train_mel/song/0005.mel,train_mel/hum/0005.mel
1073916847,train_mel/song/0006.mel,train_mel/hum/0006.mel
1078163126,train_mel/song/0007.mel,train_mel/hum/0007.mel
1079240948,train_mel/song/0008.mel,train_mel/hum/0008.mel
1075767150,train_mel/song/0009.mel,train_mel/hum/0009.mel
1078112849,train_mel/song/0010.mel,train_mel/hum/0010.mel
1073861045,train_mel/song/0011.mel,train_mel/hum/0011.mel
1079479973,train_mel/song/0012.mel,train_mel/hum/0012.mel
1075333177,train_mel/song/0013.mel,train_mel/hum/0013.mel
1075798857,train_mel/song/0014.mel,train_mel/hum/0014.mel
1081935676,train_mel/song/0015.mel,train_mel/hum/0015.mel
1079421403,train_mel/song/0016.mel,train_mel/hum/0016.mel
1073915050,train_mel/song/0017.mel,train_mel/hum/0017.mel
1074677962,train_mel/song/0018.mel,train_mel/hum/0018.mel
1076375432,train_mel/song/0019.mel,train_mel/hum/0019.mel
1106226584,train_mel/song/0020.mel,train_mel/hum/0020.mel
1073763426,train_mel/song/0021.mel,train_mel/hum/0021.mel
1074419707,train_mel/song/0022.mel,train_mel/hum/0022.mel
1074679839,train_mel/song/0023.mel,train_mel/hum/0023.mel
1074276774,train_mel/song/0024.mel,train_mel/hum/0024.mel
1078918978,train_mel/song/0025.mel,train_mel/hum/0025.mel
1073916700,train_mel/song/0026.mel,train_mel/hum/0026.mel
1075364273,train_mel/song/0027.mel,train_mel/hum/0027.mel
1079297237,train_mel/song/0028.mel,train_mel/hum/0028.mel
1079417446,train_mel/song/0029.mel,train_mel/hum/0029.mel
1075369791,train_mel/song/0030.mel,train_mel/hum/0030.mel
1080533779,train_mel/song/0031.mel,train_mel/hum/0031.mel
1079240515,train_mel/song/0032.mel,train_mel/hum/0032.mel
1079314313,train_mel/song/0033.mel,train_mel/hum/0033.mel
1079637951,train_mel/song/0034.mel,train_mel/hum/0034.mel
1074693776,train_mel/song/0035.mel,train_mel/hum/0035.mel
1075771983,train_mel/song/0036.mel,train_mel/hum/0036.mel
1074015563,train_mel/song/0037.mel,train_mel/hum/0037.mel
1079249684,train_mel/song/0038.mel,train_mel/hum/0038.mel
1078246870,train_mel/song/0039.mel,train_mel/hum/0039.mel
1074101736,train_mel/song/0040.mel,train_mel/hum/0040.mel
1075110427,train_mel/song/0041.mel,train_mel/hum/0041.mel
1075260008,train_mel/song/0042.mel,train_mel/hum/0042.mel
1073755928,train_mel/song/0043.mel,train_mel/hum/0043.mel
1075962364,train_mel/song/0044.mel,train_mel/hum/0044.mel
1074571176,train_mel/song/0045.mel,train_mel/hum/0045.mel
1079316139,train_mel/song/0046.mel,train_mel/hum/0046.mel
1074549190,train_mel/song/0047.mel,train_mel/hum/0047.mel
1076268110,train_mel/song/0048.mel,train_mel/hum/0048.mel
1078010240,train_mel/song/0049.mel,train_mel/hum/0049.mel
1078239747,train_mel/song/0050.mel,train_mel/hum/0050.mel
1076375416,train_mel/song/0051.mel,train_mel/hum/0051.mel
1074015558,train_mel/song/0052.mel,train_mel/hum/0052.mel
1075268767,train_mel/song/0053.mel,train_mel/hum/0053.mel
1073744655,train_mel/song/0054.mel,train_mel/hum/0054.mel
1073916247,train_mel/song/0055.mel,train_mel/hum/0055.mel
1075170081,train_mel/song/0056.mel,train_mel/hum/0056.mel
1074326411,train_mel/song/0057.mel,train_mel/hum/0057.mel
1074432819,train_mel/song/0058.mel,train_mel/hum/0058.mel
1073770456,train_mel/song/0059.mel,train_mel/hum/0059.mel
1096018962,train_mel/song/0060.mel,train_mel/hum/0060.mel
1073881895,train_mel/song/0061.mel,train_mel/hum/0061.mel
1074150450,train_mel/song/0062.mel,train_mel/hum/0062.mel
1073863985,train_mel/song/0063.mel,train_mel/hum/0063.mel
1079567336,train_mel/song/0064.mel,train_mel/hum/0064.mel
1073898725,train_mel/song/0065.mel,train_mel/hum/0065.mel
1079171754,train_mel/song/0066.mel,train_mel/hum/0066.mel
1074262283,train_mel/song/0067.mel,train_mel/hum/0067.mel
1078148955,train_mel/song/0068.mel,train_mel/hum/0068.mel
1075771528,train_mel/song/0069.mel,train_mel/hum/0069.mel
1078006066,train_mel/song/0070.mel,train_mel/hum/0070.mel
1075023392,train_mel/song/0071.mel,train_mel/hum/0071.mel
1073744654,train_mel/song/0072.mel,train_mel/hum/0072.mel
1074015563,train_mel/song/0073.mel,train_mel/hum/0073.mel
1076446477,train_mel/song/0074.mel,train_mel/hum/0074.mel
1074491791,train_mel/song/0075.mel,train_mel/hum/0075.mel
1078923205,train_mel/song/0076.mel,train_mel/hum/0076.mel
1073770595,train_mel/song/0077.mel,train_mel/hum/0077.mel
1075421735,train_mel/song/0078.mel,train_mel/hum/0078.mel
